artist,track,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
Bishop Gunn,Alabama,3.57,56.0,0.472,0.626,9.0,-8.499,1,0.0849,0.312,0.00243,0.121,0.296,75.007,4,rock
Tuns,In Another Life,2.59,27.0,0.537,0.828,4.0,-4.707,1,0.0451,0.057,0.000159,0.164,0.795,133.816,4,rock
Sowulo,Spatle «¢ghwas,4.33,39.0,0.379,0.452,2.0,-10.551,1,0.0313,0.224,0.116,0.105,0.0928,119.929,4,metal
Rabea Massaad,Brute Force,2.5,38.0,0.504,0.964,1.0,-8.113,1,0.13,2.53e-06,0.746,0.0728,0.224,125.03,4,metal
Hurts,Miracle,3.75,42.0,0.396,0.813,2.0,-3.911,0,0.0348,0.0114,3.94e-06,0.324,0.422,85.019,4,rock
Elder,Illusory Motion,9.89,42.0,0.311,0.619,3.0,-9.076,1,0.0314,0.0377,0.894,0.109,0.241,79.92,4,rock
Josh Teskey,Hungry Heart,3.36,40.0,0.702,0.206,1.0,-10.468,1,0.0394,0.835,1.95e-05,0.0932,0.54,122.839,4,rock
Noam Rotem,◊î◊©◊û◊ô◊õ◊î ◊î◊ú◊ë◊†◊î,2.87,23.0,0.489,0.738,9.0,-10.405,1,0.0383,0.0885,0.349,0.104,0.514,141.912,4,rock
The Cure,A Night Like This,4.27,47.0,0.634,0.868,6.0,-6.858,0,0.0287,0.00867,0.00656,0.205,0.655,121.955,4,rock
Kembe X,Back At It,3.24,46.0,0.489,0.832,2.0,-5.717,1,0.19,0.208,2.02e-06,0.139,0.253,148.068,4,hiphop
Loud Luxury,Body,2.72,75.0,0.752,0.764,1.0,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,4,pop
The Elovaters,Let It All Out,4.59,49.0,0.719,0.883,3.0,-5.948,1,0.0308,0.0469,0.000981,0.438,0.964,132.992,4,rock
O.R.k.,Kneel to Nothing,4.64,29.0,0.384,0.79,2.0,-6.104,0,0.0457,0.00518,6.56e-05,0.117,0.404,167.989,4,rock
Eyal Golan,◊†◊®◊ê◊™◊î ◊ú◊ê◊ó◊®◊ï◊†◊î,3.94,35.0,0.711,0.731,2.0,-6.016,0,0.0346,0.213,3.38e-06,0.133,0.66,104.999,4,pop
Patrick Paige II,Whisper (Want My Luv),3.83,52.0,0.725,0.629,4.0,-6.208,0,0.0461,0.172,0.0186,0.347,0.499,91.961,4,hiphop
Yehudit Ravitz,◊ê◊®◊ë◊¢ ◊ú◊§◊†◊ï◊™ ◊ë◊ï◊ß◊®,3.13,28.0,0.86,0.5,9.0,-12.881,1,0.0435,0.642,0.000473,0.0822,0.972,125.562,4,rock
John Denver,"Take Me Home, Country Roads",3.3,77.0,0.255,0.43,9.0,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,4,pop
Enslaved,Loke,4.37,30.0,0.189,0.995,11.0,-7.07,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,4,metal
Iron Maiden,The Wicker Man - 2015 Remaster,4.59,57.0,0.424,0.98,4.0,-4.33,0,0.154,0.000855,5.72e-06,0.129,0.296,101.502,4,metal
Limp Bizkit,Break Stuff,2.78,74.0,0.432,0.884,8.0,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,4,rock
Jonny Lang,Before You Hit The Ground,3.9,41.0,0.724,0.876,11.0,-5.854,0,0.0873,0.16,0.00278,0.116,0.812,92.169,4,rock
"Lata Mangeshkar, Babla Mehta",Tere Mere Honthon Pe,5.55,30.0,0.262,0.419,6.0,-17.099,1,0.041,0.807,1.08e-05,0.0932,0.356,73.918,3,bollywood
Fates Warning,Scars,5.08,25.0,0.547,0.922,4.0,-6.352,1,0.0986,0.00211,0.0275,0.112,0.31,121.978,4,metal
Bubba Sparxxx,Ugly,4.42,14.0,0.76,0.831,6.0,-5.743,1,0.164,0.265,8.12e-05,0.201,0.712,90.81,4,hiphop
Allah-Las,Catamaran,3.55,52.0,0.564,0.846,4.0,-5.897,0,0.0437,0.00692,0.00175,0.0452,0.696,122.035,4,pop
Black Sabbath,The Wizard,4.34,53.0,0.523,0.706,2.0,-11.521,1,0.0935,0.0307,0.000274,0.337,0.407,99.684,4,metal
Gene Loves Jezebel,Break the Chain,4.81,42.0,0.664,0.815,9.0,-6.839,0,0.0306,0.0025,5.16e-05,0.604,0.594,118.451,4,rock
Golden Earring,Twilight Zone,7.97,52.0,0.656,0.756,11.0,-6.516,0,0.0399,0.00785,3.49e-05,0.0927,0.542,118.56,4,rock
Survivor,High on You,4.14,55.0,0.659,0.714,7.0,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,4,rock
Dudu Tassa,◊ú◊©◊ô◊ù ◊™'◊®◊ê◊©,4.49,22.0,0.488,0.874,6.0,-4.059,0,0.0353,5.89e-05,0.0053,0.102,0.525,99.945,4,rock
Eagles Of Death Metal,I Only Want You,2.82,45.0,0.547,0.945,9.0,-3.207,1,0.118,0.594,0.00141,0.102,0.902,173.862,4,pop
Lata Mangeshkar,Bhai Battur,4.71,12.0,0.48,0.467,6.0,-10.235,1,0.0545,0.969,0.00376,0.0843,0.735,131.746,4,bollywood
Lion's Share,Aim Higher,4.65,31.0,0.573,0.981,4.0,-3.479,1,0.0426,0.000401,0.0055,0.403,0.641,131.037,4,metal
Martin Luke Brown,Opalite,3.53,41.0,0.728,0.664,2.0,-5.543,1,0.0438,0.00973,0.000515,0.37,0.105,104.021,4,rock
Jack Johnson,My Mind Is For Sale,4.0,63.0,0.83,0.682,2.0,-7.16,1,0.134,0.676,0.000367,0.123,0.762,97.849,4,pop
prettyboys,WINTER HOOKUP,2.92,36.0,0.786,0.46,1.0,-8.028,1,0.241,0.438,2.35e-05,0.114,0.413,139.981,4,hiphop
"Christone ""Kingfish"" Ingram",Rock & Roll,4.84,51.0,0.532,0.473,2.0,-7.179,1,0.0295,0.647,8.03e-06,0.0753,0.345,145.072,3,rock
Winnetka Bowling League,barcelona,3.76,57.0,0.549,0.86,10.0,-4.147,1,0.0498,0.017,4.26e-06,0.206,0.512,83.971,4,pop
Kojey Radical,No Gangster,3.57,40.0,0.552,0.627,1.0,-8.455,1,0.344,0.448,0.00711,0.134,0.643,123.59,5,hiphop
Mukesh,Kahin Door Jab Din Dhal Jaye,5.62,36.0,0.524,0.423,5.0,-7.392,1,0.0348,0.852,1.04e-06,0.301,0.484,91.372,4,bollywood
◊©◊ù ◊ò◊ï◊ë ◊î◊ê◊ë◊ô,◊î◊ê◊ñ◊®◊ó ◊î◊ß◊ò◊ü,3.37,42.0,0.668,0.632,1.0,-6.611,1,0.338,0.228,2.91e-06,0.123,0.363,120.156,4,hiphop
In Hearts Wake,Worldwide Suicide,1.94,42.0,0.391,0.997,1.0,-2.383,1,0.244,0.000329,0.0074,0.288,0.156,86.44,4,metal
Mammoth WVH,Distance,4.21,50.0,0.404,0.962,2.0,-5.106,1,0.387,0.000495,0.654,0.384,0.418,177.045,4,rock
ZZ Top,La Grange - 2005 Remaster,3.84,76.0,0.545,0.64,4.0,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,4,rock
The New Mastersounds,Take What You Need,3.19,35.0,0.641,0.993,9.0,-3.262,1,0.0504,0.302,0.744,0.41,0.505,105.966,4,rock
Gary Clark Jr.,This Land,5.69,47.0,0.506,0.921,10.0,-2.967,0,0.0606,0.019,8.09e-05,0.0677,0.279,82.033,4,rock
KennyHoopla,lost cause// (with grandson),2.85,54.0,0.698,0.675,4.0,-4.941,0,0.0412,0.000348,0.251,0.0916,0.484,116.02,4,rock
Billy Adams,Rock Pretty Mama,2.19,28.0,0.454,0.683,10.0,-11.151,0,0.0904,0.691,2.45e-06,0.206,0.59,167.226,4,rock
Candlebox,Far Behind,5.0,66.0,0.552,0.645,7.0,-6.595,1,0.0268,0.00187,1.38e-06,0.0424,0.588,89.518,4,rock
Ghum,Saturn,3.87,37.0,0.343,0.701,10.0,-5.365,1,0.0297,0.00225,0.00516,0.115,0.416,91.601,4,rock
Reflections,Cicada,3.03,42.0,0.621,0.963,1.0,-4.547,1,0.133,0.00388,9.39e-05,0.444,0.101,95.041,4,metal
Meaningful Stone,Footsteps,4.09,19.0,0.666,0.801,9.0,-6.342,1,0.0342,0.292,1.83e-06,0.0893,0.6,119.986,4,rock
EKKSTACY,i want to be by your side (feat. herhexx),2.63,54.0,0.75,0.593,9.0,-12.074,1,0.0331,0.0792,0.785,0.283,0.846,119.985,4,pop
Lost Symphony,Conflagration,4.69,25.0,0.143,0.954,4.0,-5.157,0,0.172,0.000102,0.923,0.393,0.142,94.851,3,metal
Genesis,Follow You Follow Me - Remastered 2007,4.02,63.0,0.531,0.747,7.0,-9.368,1,0.0344,0.146,0.0722,0.07,0.761,93.559,4,rock
Ray Charles,Georgia on My Mind - Original Master Recording,3.62,60.0,0.138,0.399,7.0,-8.756,1,0.0311,0.782,3.65e-06,0.188,0.296,179.93,4,hiphop
Polyphia,LIT,4.21,46.0,0.54,0.789,1.0,-5.27,0,0.0382,0.00414,0.207,0.124,0.54,99.022,4,metal
Donny Hathaway,Little Ghetto Boy,3.87,41.0,0.535,0.509,6.0,-7.519,0,0.0562,0.729,3.59e-06,0.601,0.594,92.249,4,hiphop
We Three Trio,Skating,3.28,49.0,0.526,0.341,10.0,-17.948,0,0.036,0.886,0.921,0.0953,0.169,123.366,3,instrumental
Freak Kitchen,Raw,4.31,40.0,0.536,0.796,3.0,-9.392,0,0.034,0.00297,0.12,0.0559,0.696,95.902,4,metal
DUSTY LOCANE,MOVE DOLEY,3.33,61.0,0.792,0.676,2.0,-8.825,1,0.344,0.208,1.65e-06,0.103,0.68,143.877,4,hiphop
The Order,Supreme Hypocrisy,3.93,27.0,0.548,0.967,7.0,-4.182,1,0.0381,0.00012,0.0744,0.0636,0.365,102.968,4,metal
George Clanton,Driving in My Car,3.63,43.0,0.597,0.678,1.0,-6.391,1,0.0261,0.0278,0.882,0.117,0.646,97.003,4,pop
"Hemant Kumar, Geeta Dutt",Jai Jagdish Hare,3.19,11.0,0.312,0.347,1.0,-9.723,1,0.0297,0.971,0.172,0.422,0.308,90.522,4,bollywood
"Leonard Cohen, Sheku Kanneh-Mason, Didier Osindero, Alinka Rowe, Yong Jun Lee",Hallelujah (Arr. Hodge for Cello and Strings),3.44,50.0,0.159,0.0321,9.0,-22.421,0,0.0565,0.977,0.696,0.0963,0.142,180.407,3,instrumental
Elm Tree Circle,Feel the Burn,2.87,18.0,0.371,0.899,6.0,-4.056,1,0.0657,2.99e-05,0.000158,0.0367,0.524,139.922,4,rock
Akiva,◊ê◊ú ◊™◊¢◊ñ◊ë◊ô ◊ô◊ì◊ô◊ô◊ù,3.48,50.0,0.598,0.455,1.0,-7.951,0,0.0475,0.737,6.74e-06,0.224,0.257,88.078,4,pop
Demob Happy,Mother Machine,3.6,35.0,0.298,0.677,6.0,-8.85,1,0.0888,0.00416,0.00297,0.088,0.344,129.397,4,rock
The Moody Blues,Nights In White Satin - Single Edit,4.42,1.0,0.182,0.451,4.0,-7.841,0,0.0303,0.249,0.203,0.186,0.205,158.623,3,rock
Kansas,Carry on Wayward Son,5.38,76.0,0.482,0.786,7.0,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,4,rock
Lofofora,La surface,4.25,11.0,0.529,0.908,4.0,-5.727,1,0.0732,0.000285,0.000445,0.113,0.582,146.055,4,rock
The Smashing Pumpkins,Bullet With Butterfly Wings,4.31,73.0,0.404,0.72,10.0,-9.18,0,0.0623,5.59e-05,0.836,0.0466,0.475,121.864,4,rock
Leon Bridges,Motorbike,3.14,68.0,0.721,0.485,5.0,-11.213,0,0.0681,0.158,0.275,0.107,0.614,150.027,4,pop
Amaarae,JUMPING SHIP,3.36,52.0,0.758,0.601,4.0,-7.042,0,0.141,0.151,0.00809,0.169,0.575,126.03,4,pop
"Lata Mangeshkar, Mukesh",Dil Ki Nazar Se,4.67,26.0,0.56,0.224,5.0,-15.601,0,0.0368,0.879,3.24e-05,0.384,0.775,82.944,3,bollywood
Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2.73,78.0,0.661,0.723,5.0,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4,pop
Emeli Sand√©,Next To Me,3.28,61.0,0.664,0.799,7.0,-5.121,0,0.0368,0.0932,0.000108,0.105,0.35,94.991,4,pop
War & Pierce,Amen,4.12,50.0,0.785,0.43,4.0,-9.453,0,0.0653,0.316,0.00159,0.0829,0.491,85.99,4,rock
Ash,Shining Light,5.15,50.0,0.482,0.934,2.0,-3.486,1,0.0452,1.55e-05,0.00204,0.108,0.526,106.616,4,rock
Gong,My Sawtooth Wake,13.25,23.0,0.546,0.784,11.0,-8.566,1,0.043,0.00175,0.146,0.0912,0.256,120.057,4,rock
Shrezzers,Demure,4.2,44.0,0.365,0.94,1.0,-3.325,0,0.151,0.000727,0.000226,0.093,0.318,199.918,4,rock
Foxy Brown,Oh Yeah,4.35,52.0,0.618,0.691,10.0,-7.041,0,0.308,0.00452,3.17e-06,0.0614,0.762,170.446,4,hiphop
Britney Spears,Gasoline,3.14,42.0,0.757,0.733,7.0,-4.722,1,0.0511,0.178,4.47e-06,0.101,0.552,119.984,4,pop
Mirrors,Damien,4.32,37.0,0.447,0.979,5.0,-2.962,0,0.198,0.00537,8.55e-06,0.17,0.0833,111.998,4,metal
Wolfheart,The Hammer,6.14,19.0,0.444,0.946,5.0,-6.98,1,0.0804,7.72e-05,0.793,0.108,0.0453,104.978,4,metal
Bleed From Within,The End of All We Know,4.19,53.0,0.311,0.959,6.0,-5.104,0,0.107,0.000505,0.00012,0.328,0.336,149.406,3,metal
Eden Ben Zaken,◊™◊ñ◊ô◊ñ◊ï,3.7,42.0,0.732,0.904,8.0,-4.106,1,0.0492,0.146,3.07e-05,0.143,0.816,105.014,4,pop
Inhaler,When It Breaks,3.68,54.0,0.429,0.964,2.0,-6.165,0,0.0901,0.000453,0.00268,0.191,0.206,146.048,4,rock
Chris Marshall,Tun Up,3.78,42.0,0.745,0.828,2.0,-4.041,0,0.0594,0.214,7.25e-05,0.0667,0.853,94.913,4,pop
To The Grave,(‚Ä¢REC),2.72,39.0,0.174,0.821,9.0,-7.16,1,0.116,1.54e-05,0.0353,0.0926,0.16,73.179,4,metal
Seas on the Moon,Door to Life (2017),4.4,23.0,0.508,0.958,11.0,-4.543,1,0.0515,5.14e-06,0.742,0.509,0.317,115.002,3,metal
Alabama Shakes,Hold On,3.77,59.0,0.575,0.666,5.0,-5.425,1,0.0301,0.206,0.341,0.0852,0.546,88.311,4,pop
Skid Row,Slave to the Grind,3.48,1.0,0.486,0.977,7.0,-7.566,1,0.105,6.8e-06,0.355,0.242,0.307,133.173,4,metal
The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,3.32,69.0,0.757,0.868,9.0,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,4,rock
Attila,Clarity,3.53,57.0,0.45,0.993,6.0,-2.216,1,0.292,3.45e-05,0.0308,0.451,0.217,160.029,4,rock
clipping.,Say the Name,4.99,53.0,0.455,0.426,2.0,-9.406,1,0.0475,0.172,0.0843,0.168,0.04,84.643,4,hiphop
Tuna,◊í◊ù ◊ñ◊î ◊ô◊¢◊ë◊ï◊®,5.05,47.0,0.56,0.62,11.0,-7.778,0,0.089,0.36,0.000106,0.1,0.411,156.178,4,hiphop
Patient Sixty-Seven,Antisocial,2.57,45.0,0.542,0.99,6.0,-3.22,1,0.145,0.00324,6.07e-06,0.285,0.749,151.957,4,metal
Ehud Banai,◊ñ◊≥◊ê◊ü ◊ñ◊≥◊ê◊ß ◊û◊ï◊ü ◊ê◊û◊ô,4.35,15.0,0.332,0.622,4.0,-7.538,0,0.0357,0.481,0.000335,0.109,0.242,179.756,3,rock
Cro-Mags,Hard Times,1.6,42.0,0.224,0.996,9.0,-4.578,1,0.131,0.00326,0.896,0.0305,0.207,214.396,4,metal
Paul McCartney,No More Lonely Nights (Ballad) - Remastered 1993,5.21,53.0,0.32,0.428,5.0,-14.262,1,0.0536,0.00349,0.000276,0.519,0.411,172.603,4,rock
Thornhill,Reptile,3.74,39.0,0.467,0.985,11.0,-2.347,0,0.211,6.36e-05,0.0101,0.378,0.258,125.06,4,metal
"Anja Lechner, François Couturier",Flow,6.34,39.0,0.249,0.0387,1.0,-25.66,0,0.0453,0.992,0.907,0.0747,0.0511,117.595,4,instrumental
The Glorious Sons,Closer To The Sky,3.44,49.0,0.629,0.881,7.0,-4.525,1,0.0731,0.003,0.00716,0.109,0.454,93.933,4,rock
Accept,The Best Is yet to Come,4.79,46.0,0.402,0.647,11.0,-7.243,0,0.032,0.00281,1.77e-05,0.111,0.508,167.973,4,metal
Grizfolk,The Ripple,3.41,47.0,0.589,0.781,1.0,-6.533,0,0.0243,0.00378,0.000745,0.0772,0.687,102.047,4,rock
Gin Wigmore,Man Like That,2.84,40.0,0.607,0.885,8.0,-3.086,1,0.0763,0.00091,0.00391,0.558,0.539,103.047,4,pop
Tyler Lawlor,St Martin,2.78,45.0,0.466,0.161,2.0,-14.696,1,0.045,0.989,0.945,0.12,0.322,127.806,3,instrumental
Sir Sly,Loverboy,2.73,44.0,0.669,0.786,6.0,-6.459,1,0.0871,0.306,0.0596,0.383,0.738,88.997,4,pop
Lata Mangeshkar,Vande Mataram - Female Vocals,2.97,9.0,0.369,0.387,5.0,-11.381,0,0.0359,0.993,0.702,0.129,0.746,167.715,4,bollywood
Bryan Adams,Cuts Like A Knife,5.3,35.0,0.468,0.462,7.0,-17.189,1,0.0262,0.0199,4.48e-06,0.584,0.588,95.99,4,rock
Inhaler,Fade Into You,5.26,56.0,0.468,0.362,9.0,-10.704,1,0.0262,0.29,0.00529,0.128,0.257,140.031,3,rock
Gedy Ronen,◊õ◊ó ◊¢◊ú◊ô◊ï◊ü,4.53,21.0,0.696,0.749,7.0,-6.079,0,0.0353,0.00125,2.75e-05,0.235,0.637,115.931,4,rock
Holly Golightly,There's an End,3.56,35.0,0.719,0.58,7.0,-7.694,1,0.0281,0.0393,0.769,0.0945,0.761,118.683,4,pop
Anthrax,Madhouse,4.33,61.0,0.329,0.885,9.0,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,4,metal
Sipper,Cure,2.65,22.0,0.615,0.527,3.0,-8.182,1,0.0308,0.16,0.921,0.142,0.503,144.937,4,pop
"Gene Vincent, The Blue Caps",Lotta Lovin',2.2,43.0,0.565,0.495,7.0,-14.611,1,0.0506,0.766,0.000111,0.287,0.952,168.21,4,rock
All Them Witches,Fishbelly 86 Onions,6.04,35.0,0.202,0.839,7.0,-8.0,0,0.0845,0.0205,0.0792,0.0935,0.481,72.236,4,rock
Evergrey,Where August Mourns,5.53,42.0,0.37,0.963,2.0,-5.773,1,0.1,3.05e-05,0.000815,0.146,0.305,200.317,4,metal
Foo Fighters,Run,5.39,61.0,0.365,0.892,4.0,-8.036,0,0.0786,3.31e-05,0.0948,0.751,0.176,136.133,4,rock
Momma,Biohazard,2.43,40.0,0.565,0.769,6.0,-7.863,0,0.0594,0.0135,0.794,0.171,0.464,124.069,4,rock
Ratt,Lay It Down,3.43,60.0,0.442,0.759,10.0,-13.475,1,0.0354,0.000402,0.0081,0.174,0.279,198.117,4,metal
21 Savage,Spiral,2.86,63.0,0.814,0.659,2.0,-4.475,1,0.0829,0.00155,0.0251,0.568,0.13,88.506,4,hiphop
Mark Roswell Trio,It Might As Well Be Spring,4.6,60.0,0.331,0.169,9.0,-18.095,0,0.0373,0.956,0.951,0.121,0.114,171.169,3,instrumental
Jaded Heart,Reap What You Sow,3.1,24.0,0.459,0.934,11.0,-7.161,1,0.0764,2.63e-05,0.0116,0.332,0.441,169.93,4,metal
Grouplove,Deleter,3.91,60.0,0.421,0.991,8.0,-3.678,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,4,rock
Bullet For My Valentine,Tears Don't Fall,5.81,64.0,0.214,0.931,7.0,-3.347,0,0.143,0.000705,3.09e-06,0.0797,0.233,162.115,4,rock
Michael Jackson,Billie Jean,4.9,84.0,0.92,0.654,11.0,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,4,rock
Daryl Hall & John Oates,She's Gone,5.22,65.0,0.523,0.341,4.0,-14.034,1,0.0388,0.313,0.000114,0.621,0.355,77.487,4,rock
Kaiser Chiefs,Oh My God,3.58,41.0,0.367,0.938,7.0,-4.643,1,0.0464,0.0052,5.18e-06,0.428,0.556,177.916,4,rock
Abiotic,Emerald,4.75,32.0,0.317,0.94,5.0,-9.713,1,0.142,0.000699,0.84,0.391,0.0754,112.506,3,metal
1349,Slaves,4.89,26.0,0.209,0.927,4.0,-7.263,0,0.101,1.82e-06,0.667,0.652,0.298,194.048,4,metal
Bumpin Uglies,Cali Sober (with Pepper),3.51,40.0,0.72,0.789,1.0,-4.9,1,0.056,0.0166,0.0121,0.0605,0.681,140.101,4,rock
Then Comes Silence,Strangers,3.98,39.0,0.425,0.936,2.0,-4.276,1,0.037,2.98e-06,0.823,0.0466,0.499,138.007,4,rock
Deep Purple,Space Truckin' - Remastered 2012,4.55,49.0,0.62,0.878,9.0,-9.064,1,0.0443,0.0264,0.776,0.235,0.708,129.236,4,rock
Bryan's Magic Tears,Ghetto Blaster,5.05,21.0,0.0993,0.735,2.0,-6.51,1,0.0403,1.77e-05,0.805,0.209,0.323,196.637,4,rock
Anna Zak,◊õ◊ú ◊î◊ó◊ë◊®◊ô◊ù ◊©◊ú◊ö,2.76,41.0,0.725,0.704,5.0,-6.522,0,0.111,0.227,0.000244,0.19,0.575,140.014,4,hiphop
Bathory,Hades,2.83,42.0,0.26,0.922,11.0,-7.592,0,0.104,3.03e-06,0.914,0.0802,0.2,101.185,4,metal
"Kishore Kumar, Asha Bhosle",O Nigahe Mastana,3.79,8.0,0.504,0.322,5.0,-14.529,1,0.0388,0.944,3.57e-05,0.126,0.733,115.607,4,bollywood
Nicole Atkins,Domino,4.06,50.0,0.773,0.634,4.0,-6.894,1,0.0279,0.449,0.469,0.0844,0.963,104.998,4,pop
YG,FTP,2.7,44.0,0.768,0.506,11.0,-8.749,0,0.236,0.0136,3.95e-05,0.349,0.395,99.978,4,hiphop
Blue Stahli,Crimewave,2.71,46.0,0.622,0.812,2.0,-7.339,1,0.0324,8.53e-05,0.717,0.425,0.0556,121.982,4,metal
Bill Charlap Trio,The One I Love Belongs To Somebody Else,5.02,37.0,0.557,0.184,2.0,-21.95,1,0.0523,0.914,0.869,0.0978,0.516,107.2,4,instrumental
Gang Starr,DWYCK,4.05,53.0,0.911,0.614,7.0,-11.176,1,0.338,0.00432,8.75e-06,0.0985,0.601,99.025,4,hiphop
The Rolling Stones,Sway - 2009 Mix,3.88,48.0,0.33,0.895,5.0,-3.435,1,0.0399,0.221,0.737,0.408,0.54,144.945,4,rock
Stevie Nicks,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,4.07,61.0,0.631,0.597,4.0,-7.382,0,0.026,0.379,0.00273,0.146,0.665,107.26,4,rock
Ruth Dolores Weiss,Mishirei Eretz Ahavati,5.14,23.0,0.465,0.39,7.0,-6.993,0,0.0341,0.843,1.24e-05,0.127,0.338,130.559,3,rock
Red Hot Chili Peppers,Road Trippin',3.42,65.0,0.378,0.474,4.0,-8.202,0,0.0271,0.28,0.00138,0.117,0.38,102.379,4,rock
Thin Lizzy,The Boys Are Back In Town,4.45,75.0,0.445,0.706,8.0,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4,rock
The Cure,Lovesong - Remastered,3.47,66.0,0.611,0.791,9.0,-7.7,0,0.0286,0.326,0.862,0.217,0.856,140.12,4,rock
SZA,Good Days,4.65,89.0,0.436,0.655,1.0,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4,hiphop
Backstreet Boys,In a World Like This - Live in Japan,3.88,17.0,0.528,0.835,7.0,-5.863,1,0.0384,0.00013,0.000207,0.923,0.542,125.02,4,pop
Whitesnake,Your Precious Love - 2020 Remix,4.56,25.0,0.323,0.648,9.0,-5.122,1,0.0369,0.282,6.78e-06,0.169,0.338,182.234,3,rock
V√†li,Nordavindens Klagesang,2.96,41.0,0.482,0.33,2.0,-14.292,0,0.0342,0.836,0.85,0.128,0.177,129.951,3,metal
Spare Parts For Broken Hearts,Mush,3.68,31.0,0.554,0.915,8.0,-8.52,1,0.0522,0.00105,0.000231,0.13,0.327,127.997,4,rock
Shlomi Shabat,◊î◊ê◊ì◊û◊ô◊®◊ú,4.12,19.0,0.338,0.421,4.0,-11.879,0,0.0309,0.635,7.83e-06,0.0655,0.356,97.064,3,pop
Moshe Peretz,◊õ◊û◊ï ◊î◊©◊ß◊ò,3.39,21.0,0.506,0.934,11.0,-3.496,0,0.0345,0.218,1.23e-06,0.217,0.898,165.05,4,pop
Ehud Banai,◊ë◊ú◊ï◊ñ ◊õ◊†◊¢◊†◊ô,4.22,41.0,0.469,0.447,7.0,-8.79,1,0.0257,0.586,2.55e-05,0.309,0.394,96.953,4,rock
Little Richard,Get Down with It,3.24,46.0,0.547,0.806,5.0,-8.947,1,0.0418,0.569,0.000146,0.427,0.971,141.78,4,rock
Awaken I Am,Roses,3.22,52.0,0.525,0.931,3.0,-3.304,0,0.0661,0.00238,1.34e-06,0.129,0.394,138.01,4,metal
Jacques Burtin,Las morillas de Jaén,2.87,29.0,0.516,0.0977,5.0,-23.899,1,0.087,0.912,0.873,0.0914,0.15,124.846,4,instrumental
Gene Ammons,My Romance - Rudy Van Gelder Remaster,4.22,49.0,0.519,0.0422,1.0,-10.778,1,0.0537,0.966,0.929,0.124,0.397,130.436,3,instrumental
Kenny Mason,Much Money (feat. Freddie Gibbs),3.12,56.0,0.753,0.605,8.0,-6.792,1,0.0832,0.0874,2.33e-05,0.169,0.37,112.991,4,hiphop
Boom Pam,Benƒ∞ Yalniz Koma,3.64,43.0,0.504,0.772,1.0,-4.886,0,0.0354,0.102,1.32e-05,0.108,0.708,127.065,4,rock
Steely Dan,Hey Nineteen,5.12,65.0,0.952,0.301,2.0,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4,rock
Solence,Deafening,3.79,55.0,0.42,0.949,7.0,-6.214,1,0.189,0.000181,0.00498,0.101,0.171,77.064,4,rock
Bloody Knees,Not Done,3.99,36.0,0.401,0.827,5.0,-5.243,1,0.0499,0.00866,2e-06,0.134,0.324,125.025,4,rock
James Vincent McMorrow,Paradise,3.67,40.0,0.706,0.518,2.0,-11.036,1,0.0509,0.1,0.00044,0.077,0.616,87.626,4,pop
Wet Wet Wet,"Love Is All Around - Live at Live 8, Murrayfield Stadium, Edinburgh, 6th July 2004",6.24,24.0,0.397,0.769,10.0,-7.042,1,0.0449,0.0358,2.57e-05,0.935,0.426,83.718,4,pop
The Offspring,The Kids Aren't Alright,3.0,78.0,0.523,0.943,1.0,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,rock
Nothing But Thieves,Amsterdam,4.54,65.0,0.511,0.934,3.0,-4.561,1,0.242,0.00403,3.48e-05,0.242,0.668,168.062,4,rock
W.A.S.P.,Scream,4.93,38.0,0.366,0.929,5.0,-4.413,0,0.123,8.19e-05,0.448,0.419,0.283,77.728,4,metal
K.Flay,Blood In The Cut,3.15,63.0,0.77,0.655,2.0,-5.369,1,0.0316,0.118,0.0234,0.125,0.639,129.964,4,rock
Louis Silva Band,Pretty Ballad,3.45,51.0,0.422,0.174,2.0,-15.427,1,0.0378,0.936,0.929,0.367,0.0858,95.089,4,instrumental
Show Me A Dinosaur,Red River,9.62,38.0,0.179,0.798,3.0,-7.618,0,0.0586,0.0207,0.846,0.095,0.155,152.972,4,metal
